p_nom,max_hours,efficiency_store,efficiency_dispatch,standing_loss,marginal_cost,cyclic_state_of_charge,technology,lat,long,name,note,closest_bus,canary
22.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,37.93882,-4.49932,Solacor ST1,Li-ion,ES0 32,False
22.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,37.93882,-4.49932,Solacor ST2,Li-ion,ES0 32,False
5.0,16.05,0.922,0.922,4e-05,1,False,Li-ion,37.11341,-4.70313,Proyecto de almacenamiento energético con Grid Forming en nueva fábrica de electrolizadores,Li-ion,ES0 45,False
20.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,41.4206,-2.33176,Hibridacion Alentisque,Li-ion,ES0 0,False
40.0,2.0,0.922,0.922,4e-05,1,False,Li-ion,43.29954,-4.58187,BROA-TRAS,Li-ion,ES0 20,False
20.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,41.1714,-5.78399,Santiz I,Li-ion,ES0 27,False
20.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,43.1103,-9.03275,HIB BESS MONTE REDONDO,Li-ion,ES0 11,False
2.02,37.13,0.922,0.922,4e-05,1,False,Termico,37.37323,-5.93121,Almacenamiento térmico con caldera eléctrica en INTERMALTA - SEVILLA,Termico,ES0 1,False
20.7,3.54,0.922,0.922,4e-05,1,False,Li-ion,41.79698,1.73274,Stand-alone Mateu,Li-ion,ES0 25,False
15.23,4.14,0.922,0.922,4e-05,1,False,Li-ion,28.12194,-16.72419,Almacenamiento de electricidad mediante baterías (BESS) en “Villa Bess 1”,Li-ion,ES0 23,True
13.25,4.54,0.922,0.922,4e-05,1,False,Li-ion,39.19099,-1.07724,I.S.F. JALANCE I HIBRIDADA CON ALMACENAMIENTO,Li-ion,ES0 40,False
15.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,38.51878,-1.25746,HIB BESS JUMILLA,Li-ion,ES0 18,False
15.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,41.56386,0.58711,Hibridacion Sant Miquel,Li-ion,ES0 2,False
23.49,2.3,0.922,0.922,4e-05,1,False,Li-ion,41.39516,1.81125,SONORA SUBIRATS 1,Li-ion,ES0 6,False
24.0,2.0,0.922,0.922,4e-05,1,False,Li-ion,40.51192,-3.53688,BESS MGE ALMACENAMIENTO AZOR 1,Li-ion,ES0 4,False
20.0,2.33,0.922,0.922,4e-05,1,False,Li-ion,41.83484,-5.03712,HIB BESS SAN BLAS,Li-ion,ES0 14,False
23.0,2.0,0.922,0.922,4e-05,1,False,Li-ion,39.47426,-6.38599,CACERES 2023,Li-ion,ES0 36,False
9.87,4.57,0.922,0.922,4e-05,1,False,Li-ion,38.82328,-0.47246,Hibridación de la planta de Bufali,Li-ion,ES0 18,False
15.0,3.0,0.922,0.922,4e-05,1,False,Termico,37.38641,-6.20245,PS20-Th-TESS,Termico,ES0 1,False
10.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,37.80173,-5.10703,Africana,Li-ion,ES0 32,False
10.0,4.0,0.922,0.922,4e-05,1,False,Li-ion,28.49934,-13.85991,HIB BESS FUERTEVENTURA,Li-ion,ES0 29,True
7.5,5.0,0.922,0.922,4e-05,1,False,Termico,37.38641,-6.20245,PS10-Th-TESS,Termico,ES0 1,False
2.0,16.0,0.922,0.922,4e-05,1,False,Termico,37.38941,-5.98404,P2H_ENERGYNEST_B,Termico,ES0 1,False
